HF energy: -52.893914481982335
# of electrons: 10
# of spin orbitals: 18
IYYZIIIIIIIZ	(0.020406780125744838+0j)
IXXIIIIIIIZX	(0.006064119132726336+0j)
IYYZIIIIIIZX	(0.006064119132726336+0j)
IXXIIIIIIIIX	(-0.006064119132726336+0j)
IYYZIIIIIIIX	(-0.006064119132726336+0j)
IXXIIIIIIYYX	(-0.007126592334847408+0j)
IYYZIIIIIYYX	(-0.007126592334847408+0j)
IXXIIIIIIXYY	(0.007126592334847408+0j)
IYYZIIIIIXYY	(0.007126592334847408+0j)
IXXIIIIIZIXX	(-0.004544890952156119+0j)
IYYZIIIIZIXX	(-0.004544890952156119+0j)
